last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Diaz, Elias,553869,PIT,134,C,28,R,0,0.55,0.86,1.14,1.39,1.62,1.85,2.06,2.26,2.46,2.66,2.85,3.04,3.22,3.41,3.59,3.78,3.97,4.16
Dickerson, Corey,572816,PIT,134,LF,29,L,0,0.54,0.83,1.09,1.32,1.55,1.76,1.96,2.16,2.34,2.53,2.71,2.89,3.07,3.24,3.42,3.59,3.77,3.96
Dietrich, Derek,518618,MIA,146,LF,29,L,0,0.54,0.84,1.1,1.35,1.58,1.8,2.01,2.21,2.4,2.59,2.78,2.96,3.14,3.32,3.5,3.68,3.87,4.06
Difo, Wilmer,594694,WSH,120,2B,26,L,0,0.55,0.84,1.1,1.33,1.55,1.76,1.96,2.15,2.33,2.51,2.69,2.86,3.03,3.2,3.38,3.55,3.72,3.91
Dixon, Brandon,641525,CIN,113,1B,26,R,0,0.54,0.83,1.08,1.32,1.54,1.75,1.94,2.13,2.32,2.5,2.68,2.85,3.02,3.19,3.36,3.53,3.7,3.88
Donaldson, Josh,518626,CLE,114,3B,33,R,0,0.54,0.85,1.12,1.37,1.61,1.83,2.05,2.25,2.45,2.65,2.84,3.04,3.23,3.42,3.61,3.81,4,4.21
Dozier, Brian,572821,LAD,119,2B,31,R,0,0.53,0.83,1.09,1.34,1.57,1.79,1.99,2.19,2.39,2.58,2.76,2.95,3.13,3.31,3.49,3.67,3.85,4.05
Dozier, Hunter,641531,KC,118,1B,27,R,0,0.55,0.84,1.1,1.34,1.56,1.77,1.97,2.16,2.35,2.53,2.71,2.89,3.06,3.23,3.4,3.57,3.74,3.92
Duda, Lucas,446263,ATL,144,1B,32,L,0,0.53,0.84,1.12,1.39,1.63,1.86,2.08,2.29,2.5,2.71,2.91,3.11,3.31,3.5,3.7,3.9,4.1,4.31
Duffy, Matt,622110,TB,139,3B,27,R,0,0.56,0.87,1.13,1.37,1.6,1.82,2.02,2.22,2.41,2.59,2.78,2.96,3.13,3.31,3.49,3.66,3.84,4.03
Duggar, Steven,621453,SF,137,CF,25,L,0,0.51,0.78,1.02,1.25,1.47,1.67,1.87,2.05,2.23,2.41,2.58,2.76,2.93,3.09,3.26,3.42,3.59,3.77
Duvall, Adam,594807,ATL,144,LF,30,R,0,0.55,0.84,1.1,1.33,1.56,1.77,1.97,2.16,2.35,2.53,2.72,2.89,3.07,3.24,3.41,3.59,3.76,3.94
Dyson, Jarrod,502481,ARI,109,CF,34,L,0,0.51,0.77,1.01,1.23,1.44,1.64,1.83,2.01,2.19,2.36,2.53,2.7,2.87,3.04,3.21,3.37,3.55,3.74
Eaton, Adam,594809,WSH,120,RF,30,L,0,0.55,0.83,1.09,1.32,1.54,1.75,1.95,2.14,2.33,2.51,2.69,2.86,3.04,3.22,3.39,3.57,3.76,3.95
Encarnacion, Edwin,429665,CLE,114,DH,35,R,0,0.54,0.86,1.14,1.4,1.64,1.86,2.08,2.29,2.49,2.69,2.89,3.08,3.28,3.47,3.66,3.86,4.05,4.26
Engel, Adam,641553,CWS,145,CF,27,R,0,0.53,0.8,1.04,1.27,1.48,1.68,1.87,2.06,2.23,2.41,2.58,2.75,2.91,3.08,3.24,3.4,3.56,3.73
Ervin, Phillip,640447,CIN,113,LF,26,R,0,0.53,0.82,1.07,1.3,1.52,1.73,1.93,2.12,2.31,2.49,2.66,2.84,3.01,3.18,3.35,3.52,3.7,3.87
Escobar, Alcides,444876,KC,118,SS,32,R,0,0.55,0.86,1.12,1.37,1.59,1.81,2.01,2.21,2.4,2.58,2.77,2.95,3.13,3.3,3.48,3.65,3.83,4.01
Escobar, Eduardo,500871,ARI,109,3B,29,L,0,0.53,0.81,1.06,1.3,1.53,1.74,1.95,2.14,2.33,2.51,2.69,2.87,3.05,3.23,3.4,3.58,3.76,3.95
Escobar, Eduardo,500871,ARI,109,3B,29,R,0,0.54,0.84,1.1,1.35,1.57,1.78,1.99,2.18,2.37,2.55,2.73,2.91,3.09,3.26,3.43,3.61,3.78,3.97
Fernandez, Jose Miguel,628336,LAA,108,1B,30,L,0,0.54,0.83,1.11,1.37,1.61,1.84,2.05,2.26,2.46,2.66,2.86,3.06,3.25,3.44,3.64,3.84,4.05,4.26
